instrument,technique,technique_family,n_samples,F1_hz,F2_hz,F3_hz,F4_hz,F5_hz,F6_hz,F1_db,F2_db,F3_db,F4_db,F5_db,F6_db,F1_mean,F1_std,F1_q25,F1_q75,F2_mean,F2_std,F2_q25,F2_q75,F3_mean,F3_std,F3_q25,F3_q75,F4_mean,F4_std,F5_mean,F5_std,F6_mean,F6_std,reliability_score,rugosity,suddenness,mean_kurtosis,mean_irregularity
Clarinette basse en Sib,aeolian,breath_tone,23,635.2,1410.4,1798.0,2164.1,2530.2,3703.7,-25.23,-10.12,-15.18,-15.76,-18.40,-18.96,709.2,361.2,344.5,1022.8,1304.6,228.2,1055.1,1421.2,1738.1,265.1,1453.5,1841.1,2150.0,298.3,2655.6,444.0,3382.1,437.8,0.185,0.0,0.0,21.374,0.001
Clarinette basse en Sib,flatterzunge,flutter,28,333.8,786.0,1388.9,1851.9,2185.6,2605.5,-12.13,-14.00,-7.45,-6.74,-4.01,-12.90,435.7,332.2,193.8,559.9,899.4,371.1,624.5,1162.8,1335.1,394.7,969.0,1550.4,1803.8,393.2,2237.1,401.9,2670.1,494.1,0.196,0.0,0.0,23.935,0.001
Clarinette basse en Sib,ordinario,ordinario,173,323.0,807.5,1259.7,1647.3,2034.9,2368.7,-6.68,-1.69,4.88,-0.05,-4.88,-4.44,428.5,284.8,193.8,570.6,897.0,395.0,581.4,1119.7,1302.8,486.6,958.2,1496.6,1741.5,674.3,2143.1,713.4,2659.5,861.7,0.223,0.0,0.0,116.373,0.003
Flûte basse,aeolian,breath_tone,13,279.9,602.9,915.2,1378.1,1873.4,3090.0,21.08,21.47,22.80,20.94,14.29,12.30,283.2,75.0,215.3,312.2,633.6,105.9,549.1,732.1,954.1,112.3,861.3,958.2,1416.2,254.3,1842.7,233.0,2911.1,858.6,0.491,0.308,0.0,5.087,0.0
Flûte basse,flatterzunge,flutter,39,279.9,624.5,1065.9,1550.4,1927.2,3057.7,11.83,12.02,11.01,2.16,0.74,-0.63,342.6,190.4,193.8,430.7,788.4,469.4,570.6,839.8,1204.8,537.2,893.6,1270.5,1825.1,883.3,2376.2,942.2,2952.7,1016.9,0.364,0.0,0.0,21.14,0.001
Flûte basse,ordinario,ordinario,39,301.5,667.5,958.2,1399.7,1884.2,2713.2,6.27,4.30,4.36,-0.45,-5.27,-6.65,345.9,149.9,247.6,419.9,708.9,171.8,581.4,818.3,1149.5,617.3,893.6,1238.2,1570.1,693.9,2123.5,875.3,2862.6,1009.0,0.425,0.0,0.0,22.408,0.001
Trombone basse,ordinario,ordinario,144,258.4,538.3,818.3,1173.6,1475.0,1830.3,3.55,11.26,11.94,7.39,4.78,1.09,328.8,131.2,226.1,473.7,616.3,156.3,484.5,775.2,905.1,172.6,775.2,1012.1,1230.5,245.5,1534.5,292.8,1958.6,440.3,0.453,0.0,0.0,60.285,0.002
Tuba basse+sourdine,flatterzunge,flutter,41,204.6,463.0,850.6,1302.8,1571.9,2110.3,29.75,27.81,23.51,10.97,11.42,12.84,216.6,68.2,172.3,215.3,498.2,109.7,441.4,484.5,871.6,114.9,818.3,872.1,1328.3,111.9,1691.8,212.1,2111.3,21.2,0.548,0.0,0.0,97.801,0.001
Clarinette en Mib,aeolian,breath_tone,19,882.9,1528.9,2002.6,2217.9,2584.0,2928.5,16.52,22.39,26.56,24.64,28.38,23.42,928.2,502.1,355.3,1216.6,1531.7,344.2,1227.4,1765.7,1963.5,339.5,1636.5,2207.2,2402.7,456.0,2887.7,510.9,3370.5,656.8,0.174,0.264,0.0,7.297,0.002
Clarinette en Mib,aeolian-flatterzunge,flutter,19,355.3,1787.3,2271.8,2702.4,3359.2,3929.8,17.45,24.38,22.73,21.55,23.33,18.63,934.4,653.8,312.2,1701.1,1818.4,316.5,1701.1,2045.7,2228.1,350.2,2034.9,2357.9,2784.0,506.5,3396.0,477.1,4025.0,703.3,0.174,0.21,0.0,10.021,0.002
Clarinette en Mib,ordinario,ordinario,45,678.3,1539.6,1959.5,2347.1,3143.8,3531.4,-16.74,-6.83,-6.66,-10.25,-9.37,-14.04,890.8,611.5,333.8,1313.5,1824.8,1140.5,958.2,2239.5,2418.9,1368.6,1399.7,3348.4,2677.2,1151.1,3083.3,1010.2,3589.7,917.1,0.2,0.0,0.0,30.411,0.007
Clarinette contrebasse en Sib,aeolian,breath_tone,23,366.1,1227.4,1647.3,1905.7,2594.8,2960.8,19.61,30.83,24.15,21.70,18.64,18.38,636.2,392.6,344.5,1033.6,1200.7,296.3,936.7,1302.8,1578.0,364.7,1227.4,1679.6,1980.1,408.5,2459.5,446.9,2968.3,349.7,0.185,0.085,0.0,16.26,0.0
Clarinette contrebasse en Sib,ordinario,ordinario,45,323.0,936.7,1248.9,1647.3,1938.0,2799.3,14.84,8.73,13.75,14.41,10.44,3.97,342.4,158.0,290.7,344.5,923.3,273.7,667.5,1141.3,1324.3,263.7,1195.1,1593.5,1730.3,370.1,2142.8,429.2,2724.7,530.7,0.413,0.0,0.0,30.21,0.001
Ensemble de contrebasses,flautando,other,19,161.5,452.2,947.5,1022.8,1324.3,1561.2,4.67,-6.60,-18.22,-17.84,-21.58,-25.29,168.9,17.5,150.7,183.0,479.1,122.5,441.4,463.0,913.0,140.7,786.0,990.5,1099.3,129.0,1350.4,74.1,1561.2,8.8,0.598,0.0,0.0,202.137,0.001
Ensemble de contrebasses,non-vibrato,vibrato,76,172.3,441.4,753.7,1022.8,1292.0,1550.4,12.73,0.23,-7.59,-6.36,-8.36,-11.29,175.0,14.8,161.5,183.0,481.2,130.7,430.7,452.2,800.4,146.1,732.1,775.2,1054.8,92.4,1314.6,99.4,1587.6,106.3,0.628,0.0,0.0,116.734,0.001
Ensemble de contrebasses,pizzicato-l-vib,pizzicato,114,161.5,441.4,764.4,1033.6,,,30.00,8.84,-4.25,-7.60,,,166.1,16.8,150.7,183.0,456.3,68.0,430.7,452.2,793.5,94.2,742.9,786.0,1096.7,121.9,,,,,0.625,0.0,1.0,347.346,0.001
Flûte contrebasse,aeolian,breath_tone,13,226.1,592.2,1022.8,1248.9,1593.5,1970.3,17.96,20.47,24.50,23.94,18.34,15.73,260.1,110.3,183.0,355.3,626.9,147.9,538.3,710.6,1022.0,240.6,829.0,1109.0,1317.7,236.5,1646.5,255.1,2060.6,301.1,0.438,0.276,0.0,6.705,0.0
Flûte contrebasse,flatterzunge,flutter,39,204.6,581.4,1022.8,1292.0,1798.0,2422.5,13.84,14.18,13.66,9.82,3.14,-0.14,307.3,178.4,172.3,430.7,686.9,229.7,516.8,829.0,1062.5,235.7,882.9,1173.6,1453.5,409.0,1941.7,503.3,2483.4,562.3,0.382,0.068,0.0,17.084,0.001
Flûte contrebasse,ordinario,ordinario,38,333.8,678.3,1033.6,1421.2,1798.0,2411.7,4.56,4.39,6.20,1.56,-2.71,-4.77,354.4,173.6,193.8,473.7,699.5,176.1,570.6,829.0,1065.0,213.5,947.5,1152.0,1452.9,380.8,1937.7,638.6,2561.8,873.1,0.39,0.0,0.0,23.723,0.001
Tuba contrebasse,flatterzunge,flutter,32,215.3,463.0,721.4,1022.8,1432.0,1561.2,28.37,26.63,18.75,12.15,2.80,0.91,219.0,7.9,215.3,226.1,456.9,17.0,452.2,463.0,798.8,151.1,710.6,979.8,1208.9,261.3,1483.3,181.4,1550.4,10.8,0.638,0.0,0.0,370.64,0.0
Tuba contrebasse,ordinario,ordinario,158,226.1,463.0,732.1,1259.7,1388.9,1851.9,22.91,17.53,8.46,-7.09,-10.29,-18.00,231.6,54.3,215.3,236.9,566.9,168.8,441.4,710.6,861.1,220.8,721.4,990.5,1179.7,193.0,1459.3,184.5,1819.6,234.9,0.569,0.0,0.0,437.969,0.001
Contrebasson,non-vibrato,vibrato,110,226.1,656.8,1012.1,1238.2,1615.0,1819.6,25.21,12.76,1.42,1.34,-5.37,-6.19,239.2,47.5,215.3,258.4,620.0,155.9,463.0,710.6,984.2,212.7,732.1,1173.6,1266.4,241.9,1558.8,241.8,1891.8,276.8,0.579,0.0,0.0,248.138,0.001
Cloche de vache,ordinario-soft-mallet,ordinario,26,527.6,915.2,1410.4,2756.2,2390.2,4059.0,16.65,-1.54,-8.64,-7.71,-13.85,-3.31,477.9,207.1,290.7,646.0,919.8,383.7,592.2,1044.4,1668.1,715.8,1109.0,2153.3,2819.9,1379.9,2770.1,834.0,3911.9,948.6,0.331,0.0,0.0,126.738,0.004
Cloche de vache,tremolo-soft-mallet,tremolo,7,312.2,624.5,893.6,,,,30.64,5.16,5.65,,,,313.8,45.8,290.7,344.5,658.9,122.5,581.4,678.3,893.6,0.0,893.6,893.6,,,,,,,0.502,0.0,0.0,202.81,0.002
Cor anglais,flatterzunge,flutter,32,506.0,990.5,1399.7,2110.3,3703.7,4317.4,-5.96,3.84,2.24,-4.56,-7.46,-8.04,534.6,277.0,279.9,753.7,1020.1,442.2,592.2,1367.4,1549.4,609.4,1076.7,1970.3,2210.5,853.7,3181.2,1084.0,3958.1,1260.0,0.235,0.049,0.0,18.063,0.007
Cor anglais,ordinario,ordinario,128,452.2,893.6,1248.9,1668.8,2164.1,3746.8,-12.13,-3.67,-0.28,-7.18,-5.95,-11.49,481.0,242.0,226.1,667.5,862.2,272.9,624.5,1098.2,1269.2,327.9,1022.8,1475.0,1765.0,558.7,2541.9,995.1,3498.8,1338.6,0.287,0.0,0.0,36.727,0.005
Cor anglais,vibrato,vibrato,96,419.9,839.8,1248.9,1668.8,2347.1,3746.8,-14.36,-8.32,-1.39,-11.15,-13.46,-14.04,474.0,244.5,226.1,667.5,875.2,350.9,559.9,1119.7,1305.2,477.4,1001.3,1550.4,1866.2,761.3,2594.4,1052.7,3511.9,1240.1,0.283,0.0,0.0,47.458,0.007
Gongs thai,ordinario-soft-mallet,ordinario,25,430.7,969.0,1432.0,1755.0,2078.0,2573.2,11.06,3.37,2.15,1.67,-2.1,-8.16,489.2,275.8,269.2,699.8,916.1,329.5,592.2,1152.0,1433.4,299.3,1248.9,1604.2,1825.8,342.6,2277.1,472.1,2709.6,381.6,0.226,0.0,0.0,431.002,0.003
Marimba,ordinario-soft-mallet,ordinario,55,269.2,635.2,990.5,1550.4,2013.4,2099.5,-8.05,-12.43,-16.85,-22.56,-28.22,-28.44,491.3,444.8,150.7,807.5,695.8,287.8,473.7,775.2,1095.0,438.7,764.4,1302.8,1521.2,147.9,1952.3,142.9,2099.5,0.0,0.2,0.0,0.0,242.114,0.001
Marimba,tremolo-soft-mallet,tremolo,11,161.5,495.3,721.4,,,,13.38,-3.01,-14.69,,,,276.0,268.6,140.0,183.0,711.7,322.3,441.4,1087.4,721.4,0.0,721.4,721.4,,,,,,,0.192,0.0,0.0,166.481,0.001
Petite flûte,flatterzunge,flutter,36,1292.0,2153.3,2853.1,3348.4,4112.8,4758.8,-0.04,-2.12,6.20,3.51,0.62,-1.27,1377.2,654.0,850.6,1991.8,2441.0,1215.8,1679.6,2820.8,2966.4,959.5,2401.0,3036.2,3470.0,693.3,3959.0,697.7,4548.5,636.0,0.2,0.211,0.0,9.935,0.002
Petite flûte,ordinario,ordinario,111,1109.0,1991.8,2637.8,3337.6,4177.4,4974.2,-7.07,-4.07,-5.36,-5.60,-5.51,-8.67,1233.0,485.3,850.6,1571.9,2022.2,636.6,1593.5,2228.7,2719.4,621.2,2357.9,2971.6,3479.0,742.9,4164.5,679.5,4875.0,724.0,0.2,0.013,0.0,19.872,0.003
Cloches tubulaires,ordinario-soft-mallet,ordinario,87,290.7,592.2,936.7,1302.8,1701.1,2907.0,-9.91,1.69,3.97,-2.68,-10.2,-12.29,326.8,137.4,193.8,430.7,623.8,148.6,484.5,732.1,953.8,178.9,818.3,1044.4,1365.3,377.8,1844.3,534.1,2685.5,837.3,0.444,0.0,0.0,71.643,0.006
Vibraphone,vibrato-soft-mallet,vibrato,10,581.4,721.4,1184.3,2379.4,,,10.71,-16.2,-18.45,-27.14,,,633.1,400.7,290.7,936.7,750.1,98.8,646.0,882.9,1317.1,376.7,936.7,1830.3,2379.4,0.0,,,,,0.14,0.0,0.0,160.078,0.003
Ensemble d'altos,flautando,other,19,376.8,732.1,1109.0,1679.6,2088.7,2379.4,-1.52,-7.55,-14.78,-13.47,-12.65,-16.46,361.5,46.9,323.0,387.6,732.7,127.2,656.8,796.7,1201.9,277.4,1012.1,1378.1,1718.7,451.5,2245.7,648.1,2769.8,869.4,0.554,0.0,0.0,52.47,0.002
Ensemble d'altos,ordinario,ordinario,148,366.1,764.4,1388.9,1862.6,2304.1,2745.5,2.17,-4.92,-6.71,-5.26,-7.84,-8.97,476.9,260.5,312.2,570.6,989.9,431.6,710.6,1313.5,1550.3,577.7,1044.4,1970.3,2076.9,767.9,2601.4,978.7,3143.8,1200.7,0.259,0.047,0.0,18.14,0.005
Ensemble d'altos,pizzicato-l-vib,pizzicato,74,279.9,656.8,1055.1,1550.4,1959.5,2648.6,23.96,13.88,7.06,1.40,0.80,-4.42,300.2,66.3,247.6,323.0,652.5,193.3,463.0,753.7,1089.8,287.1,839.8,1313.5,1545.6,372.5,2030.0,511.3,2632.7,707.7,0.551,0.0,1.0,72.775,0.002
Ensemble d'altos+sourdine,ordinario,ordinario,38,290.7,646.0,1399.7,2444.0,3090.0,3736.0,8.01,-3.80,-15.50,-14.84,-14.37,-17.26,341.4,162.6,279.9,312.2,848.6,477.1,592.2,872.1,1772.5,784.9,1119.7,2347.1,2394.4,899.2,3084.3,1026.3,3848.6,1148.9,0.406,0.078,0.0,16.625,0.004
Ensemble de violons,flautando,other,21,484.5,882.9,1313.5,1894.9,2950.0,3972.9,-6.42,-6.91,-16.94,-13.49,-16.69,-21.09,460.4,95.3,387.6,538.3,829.0,200.0,710.6,915.2,1336.6,319.2,1109.0,1539.6,1975.4,431.8,2747.0,717.0,3647.8,1103.9,0.487,0.0,0.0,33.95,0.002
Ensemble de violons,ordinario,ordinario,166,495.3,1162.8,1970.3,2497.9,3499.1,4188.2,-4.85,-7.84,-6.15,-6.96,-8.71,-8.74,687.0,422.6,387.6,893.6,1428.1,730.7,915.2,1862.6,2091.3,889.4,1485.8,2497.9,2660.1,851.1,3390.3,939.0,4196.7,1151.8,0.2,0.224,0.0,9.294,0.005
Ensemble de violons,pizzicato-l-vib,pizzicato,126,344.5,602.9,1087.4,1658.1,2293.3,3165.4,21.58,18.33,13.16,9.88,7.23,1.27,356.3,70.1,312.2,376.8,691.4,196.4,549.1,829.0,1143.6,283.0,915.2,1302.8,1676.5,397.0,2325.8,580.0,3154.2,877.9,0.545,0.0,1.0,24.227,0.002
Ensemble de violons+sourdine,ordinario,ordinario,42,355.3,796.7,1475.0,2950.0,3736.0,5006.5,6.10,-5.01,-12.77,-11.15,-11.17,-16.26,388.6,125.7,344.5,366.1,1003.1,581.8,732.1,915.2,1888.0,865.0,1162.8,2605.5,2700.6,1008.9,3563.5,1122.8,4522.2,1291.2,0.461,0.294,0.0,5.794,0.005
Ensemble de violoncelles,flautando,other,19,204.6,463.0,753.7,1012.1,1647.3,1894.9,3.66,-6.36,-8.63,-11.13,-15.14,-14.42,210.8,23.0,193.8,215.3,475.4,71.3,441.4,473.7,814.9,108.1,742.9,829.0,1170.7,241.8,1709.1,204.9,2057.6,266.8,0.59,0.0,0.0,86.782,0.002
Ensemble de violoncelles,ordinario,ordinario,147,204.6,473.7,775.2,1302.8,1851.9,2164.1,8.06,-2.09,-4.79,-9.21,-7.43,-6.82,265.1,148.6,193.8,279.9,639.3,320.5,452.2,742.9,1049.8,445.7,753.7,1055.1,1489.5,528.9,2032.3,556.8,2458.5,597.5,0.427,0.0,0.0,25.519,0.005
Ensemble de violoncelles,pizzicato-l-vib,pizzicato,111,193.8,484.5,818.3,1259.7,1808.8,2347.1,31.32,11.21,2.75,-5.40,-8.36,-13.71,205.9,25.7,193.8,204.6,550.4,135.3,441.4,689.1,880.0,187.7,742.9,1001.3,1254.3,207.1,1863.5,251.7,2328.0,301.9,0.611,0.0,1.0,207.292,0.002
Ensemble de violoncelles+sourdine,ordinario,ordinario,38,204.6,463.0,775.2,1281.2,1561.2,4069.8,10.19,-4.03,-11.25,-12.55,-13.98,-16.47,219.9,57.5,193.8,226.1,663.0,620.2,452.2,624.5,1268.2,989.3,721.4,1098.2,1869.1,1177.2,2627.9,1513.3,3938.3,1507.7,0.564,0.006,0.0,20.179,0.004
