instrument_A,register_A,instrument_B,register_B,F1_A_hz,F1_B_hz,delta_F1_hz,Fp_A_hz,Fp_B_hz,delta_Fp_hz,Homogeneity_H,zone
Bass_Tuba,grave,Contrabass_Tuba,grave,215,215,0,978,935,43,0.992,/u/
Bass_Tuba,grave,Contrabass_Tuba,médium,215,215,0,978,964,14,0.992,/u/
Contrabass+sordina,grave,Contrabass_Ensemble,grave,161,161,0,1149,1120,29,0.991,/u/
Contrabass+sordina,médium,Contrabass_Ensemble,grave,161,161,0,1205,1120,85,0.991,/u/
Contrabass+sordina,aigu,Contrabass_Ensemble,médium,172,172,0,1256,1170,86,0.991,/u/
Contrabass,grave,Contrabass_Ensemble,grave,161,161,0,1207,1120,87,0.991,/u/
Contrabass,médium,Contrabass_Ensemble,grave,161,161,0,1205,1120,85,0.991,/u/
Contrabass,aigu,Contrabass_Ensemble,médium,172,172,0,1252,1170,82,0.991,/u/
Violoncello_Ensemble,grave,Violoncello_Ensemble+sordina,grave,193,193,0,1155,1211,56,0.991,/u/
Violoncello_Ensemble,médium,Violoncello_Ensemble+sordina,médium,204,204,0,1211,1180,31,0.991,/u/
Violoncello_Ensemble,médium,Violoncello_Ensemble+sordina,suraigu,204,204,0,1211,1280,69,0.991,/u/
Guitar,grave,Violoncello+sordina,grave,183,183,0,1036,1225,189,0.990,/u/
Guitar,aigu,Violoncello+sordina,grave,183,183,0,1042,1225,183,0.990,/u/
Violoncello,aigu,Violoncello+sordina_piombo,suraigu,236,236,0,1253,1247,6,0.990,/u/
Bassoon,grave,Bassoon+sordina,bas_médium,506,506,0,1127,1141,14,0.988,/å/
Bassoon,aigu,Bassoon+sordina,aigu,570,570,0,1099,1079,20,0.988,/a/
Contrabass_Ensemble,aigu,Harp,médium,193,193,0,1214,1053,161,0.987,/u/
Contrabass,grave,Contrabass+sordina,grave,161,161,0,1207,1149,58,0.986,/u/
Contrabass,grave,Contrabass+sordina,médium,161,161,0,1207,1205,2,0.986,/u/
Contrabass,médium,Contrabass+sordina,grave,161,161,0,1205,1149,56,0.986,/u/
Contrabass,médium,Contrabass+sordina,médium,161,161,0,1205,1205,0,0.986,/u/
Contrabass,aigu,Contrabass+sordina,aigu,172,172,0,1252,1256,4,0.986,/u/
Bass_Tuba,médium,Harp,grave,204,204,0,1001,952,49,0.985,/u/
Horn,pédale,Violoncello,aigu,236,236,0,911,1253,342,0.982,/u/
Horn,grave,Violoncello,suraigu,419,419,0,961,1275,314,0.982,/å/
Contrabass_Flute,médium,Viola+sordina,grave,333,333,0,1128,1141,13,0.981,/o/
Horn,grave,Trombone+sordina_straight,aigu,419,419,0,961,988,27,0.981,/å/
Bass_Clarinet_Bb,médium,Trombone+sordina_harmon,médium,183,183,0,1270,1075,195,0.980,/u/
Violoncello,grave,Violoncello_Ensemble,grave,193,193,0,1149,1155,6,0.980,/u/
Violoncello,médium,Violoncello_Ensemble,grave,193,193,0,1202,1155,47,0.980,/u/
Violin+sordina,aigu,Violin_Ensemble,médium,344,344,0,1091,1225,134,0.979,/o/
Flute,grave,Violin_Ensemble,médium,344,344,0,1377,1225,152,0.979,/o/
Oboe,aigu,Oboe+sordina,aigu,904,904,0,1176,1056,120,0.978,/e/–/i/
Oboe,suraigu,Oboe+sordina,médium,1324,1324,0,1401,1364,37,0.978,/e/–/i/
Violoncello+sordina,médium,Violoncello_Ensemble+sordina,grave,193,193,0,1226,1211,15,0.977,/u/
Contrabass_Flute,grave,Trombone+sordina_harmon,grave,150,150,0,1109,1072,37,0.976,/u/
Bass_Flute,grave,Violoncello+sordina_piombo,aigu,258,258,0,1111,1170,59,0.975,/o/
Harp,aigu,Horn+sordina,grave,322,322,0,987,1099,112,0.973,/o/
Trombone+sordina_harmon,grave,Violoncello+sordina_piombo,grave,150,150,0,1072,1019,53,0.971,/u/
Trombone+sordina_straight,aigu,Violoncello,suraigu,419,419,0,988,1275,287,0.971,/å/
Violoncello,grave,Violoncello_Ensemble+sordina,grave,193,193,0,1149,1211,62,0.970,/u/
Violoncello,médium,Violoncello_Ensemble+sordina,grave,193,193,0,1202,1211,9,0.970,/u/
Violoncello+sordina,médium,Violoncello_Ensemble,grave,193,193,0,1226,1155,71,0.970,/u/
Trombone+sordina_straight,médium,Trombone+sordina_wah,médium,592,592,0,979,1082,103,0.970,/a/
Trombone+sordina_harmon,aigu,Trombone+sordina_wah,aigu,409,409,0,1105,1156,51,0.968,/å/
Bass_Tuba+sordina,grave,Violoncello_Ensemble,suraigu,462,462,0,1060,1224,164,0.968,/å/
Marimba,médium,Viola+sordina,médium,322,322,0,1025,1151,126,0.967,/o/
Horn,pédale,Violoncello+sordina_piombo,suraigu,236,236,0,911,1247,336,0.966,/u/
Contrabass_Flute,grave,Violoncello+sordina_piombo,grave,150,150,0,1109,1019,90,0.964,/u/
Viola,grave,Viola_Ensemble,aigu,366,366,0,1305,1299,6,0.962,/o/
Viola,suraigu,Viola_Ensemble,grave,355,355,0,1090,1304,214,0.962,/o/
Horn,médium,Marimba,médium,322,322,0,1006,1025,19,0.959,/o/
Marimba,grave,Violoncello+sordina_piombo,médium,161,161,0,1111,1087,24,0.958,/u/
Bassoon+sordina,grave,Horn,aigu,484,484,0,1047,1014,33,0.957,/å/
Bassoon,bas_médium,Horn+sordina,pédale,516,516,0,1152,1038,114,0.957,/å/
Violin_Ensemble,médium,Violin_Ensemble+sordina,grave,344,344,0,1225,1203,22,0.956,/o/
Violin_Ensemble,médium,Violin_Ensemble+sordina,médium,344,344,0,1225,1140,85,0.956,/o/
Violin_Ensemble,médium,Violin_Ensemble+sordina,aigu,344,344,0,1225,1022,203,0.956,/o/
Violin_Ensemble,médium,Violin_Ensemble+sordina,suraigu,344,344,0,1225,1108,117,0.956,/o/
Contrabass+sordina,suraigu,Violoncello+sordina,aigu,258,258,0,1308,1166,142,0.955,/o/
Contrabass+sordina,suraigu,Violoncello+sordina,suraigu,258,258,0,1308,1181,127,0.955,/o/
Bassoon,haut_médium,Trombone+sordina_straight,médium,592,592,0,1175,979,196,0.954,/a/
Flute,grave,Violin+sordina,aigu,344,344,0,1377,1091,286,0.954,/o/
Clarinet_Eb,médium,Flute,médium,1496,1496,0,1417,1412,5,0.953,/e/–/i/
Clarinet_Eb,médium,Flute,suraigu,1496,1496,0,1417,1424,7,0.953,/e/–/i/
Violoncello,grave,Violoncello+sordina,médium,193,193,0,1149,1226,77,0.950,/u/
Violoncello,médium,Violoncello+sordina,médium,193,193,0,1202,1226,24,0.950,/u/
Viola,aigu,Violin+sordina,grave,398,398,0,1231,1234,3,0.949,/o/
Viola,suraigu,Violin+sordina,médium,355,355,0,1090,1175,85,0.949,/o/
Trumpet_C,aigu,Violin,grave,462,462,0,1261,1208,53,0.949,/å/
Contrebasson,grave,Violoncello_Ensemble+sordina,aigu,226,226,0,1101,1244,143,0.949,/u/
Contrebasson,médium,Violoncello_Ensemble+sordina,aigu,226,226,0,1078,1244,166,0.949,/u/
Contrebasson,aigu,Violoncello_Ensemble+sordina,aigu,226,226,0,1127,1244,117,0.949,/u/
Contrabass_Clarinet_Bb,grave,Vibraphone,aigu,75,75,0,1245,1116,129,0.947,/u/
Contrabass_Clarinet_Bb,médium,Vibraphone,aigu,75,75,0,1363,1116,247,0.947,/u/
Contrabass_Ensemble,aigu,Violoncello+sordina,médium,193,193,0,1214,1226,12,0.946,/u/
Horn+sordina,médium,Vibraphone,grave,312,312,0,1161,1130,31,0.946,/o/
Flute,grave,Violin_Ensemble+sordina,grave,344,344,0,1377,1203,174,0.946,/o/
Flute,grave,Violin_Ensemble+sordina,médium,344,344,0,1377,1140,237,0.946,/o/
Flute,grave,Violin_Ensemble+sordina,aigu,344,344,0,1377,1022,355,0.946,/o/
Flute,grave,Violin_Ensemble+sordina,suraigu,344,344,0,1377,1108,269,0.946,/o/
Horn,aigu,Trombone,grave,484,484,0,1014,1007,7,0.946,/å/
Bass_Flute,médium,Viola_Ensemble,médium,312,312,0,1132,1339,207,0.946,/o/
Violoncello+sordina,aigu,Violoncello+sordina_piombo,aigu,258,258,0,1166,1170,4,0.945,/o/
Violoncello+sordina,suraigu,Violoncello+sordina_piombo,aigu,258,258,0,1181,1170,11,0.945,/o/
Harp,médium,Violoncello+sordina,médium,193,193,0,1053,1226,173,0.944,/u/
Contrabass_Tuba,grave,Guitar,médium,215,215,0,935,1002,67,0.940,/u/
Contrabass_Tuba,médium,Guitar,médium,215,215,0,964,1002,38,0.940,/u/
Clarinet_Bb,gorge,Viola_Ensemble,grave,355,355,0,1391,1304,87,0.940,/o/
Viola,médium,Viola+sordina,médium,322,322,0,1315,1151,164,0.940,/o/
Violin+sordina,aigu,Violin_Ensemble+sordina,grave,344,344,0,1091,1203,112,0.940,/o/
Violin+sordina,aigu,Violin_Ensemble+sordina,médium,344,344,0,1091,1140,49,0.940,/o/
Violin+sordina,aigu,Violin_Ensemble+sordina,aigu,344,344,0,1091,1022,69,0.940,/o/
Violin+sordina,aigu,Violin_Ensemble+sordina,suraigu,344,344,0,1091,1108,17,0.940,/o/
Bass_Tuba,grave,Guitar,médium,215,215,0,978,1002,24,0.939,/u/
Horn,médium,Viola+sordina,médium,322,322,0,1006,1151,145,0.936,/o/
Viola,grave,Violin,médium,366,366,0,1305,1111,194,0.932,/o/
Horn,médium,Horn+sordina,grave,322,322,0,1006,1099,93,0.931,/o/
Clarinet_Bb,chalumeau,Guitar,médium,215,215,0,1315,1002,313,0.929,/u/
Bass_Clarinet_Bb,médium,Violoncello+sordina,grave,183,183,0,1270,1225,45,0.927,/u/
Bassoon,haut_médium,Trombone+sordina_wah,médium,592,592,0,1175,1082,93,0.927,/a/
Contrabass_Ensemble,aigu,Violoncello_Ensemble+sordina,grave,193,193,0,1214,1211,3,0.922,/u/
Bass_Flute,médium,Vibraphone,grave,312,312,0,1132,1130,2,0.922,/o/
Bass_Clarinet_Bb,médium,Guitar,grave,183,183,0,1270,1036,234,0.922,/u/
Bass_Clarinet_Bb,médium,Guitar,aigu,183,183,0,1270,1042,228,0.922,/u/
Bass_Flute,grave,Violoncello+sordina,aigu,258,258,0,1111,1166,55,0.921,/o/
Bass_Flute,grave,Violoncello+sordina,suraigu,258,258,0,1111,1181,70,0.921,/o/
Trumpet_C,médium,Violin_Ensemble,suraigu,1152,1152,0,1306,1259,47,0.920,/e/–/i/
Trumpet_C,suraigu,Violin_Ensemble,suraigu,1152,1152,0,1334,1259,75,0.920,/e/–/i/
Trombone+sordina_harmon,médium,Violoncello+sordina,grave,183,183,0,1075,1225,150,0.920,/u/
Guitar,grave,Trombone+sordina_harmon,médium,183,183,0,1036,1075,39,0.919,/u/
Guitar,aigu,Trombone+sordina_harmon,médium,183,183,0,1042,1075,33,0.919,/u/
Contrabass_Ensemble,aigu,Violoncello_Ensemble,grave,193,193,0,1214,1155,59,0.918,/u/
Harp,grave,Violoncello_Ensemble+sordina,médium,204,204,0,952,1180,228,0.918,/u/
Harp,grave,Violoncello_Ensemble+sordina,suraigu,204,204,0,952,1280,328,0.918,/u/
Harp,médium,Violoncello_Ensemble+sordina,grave,193,193,0,1053,1211,158,0.918,/u/
Bass_Trombone,grave,Trumpet_C+sordina_wah,grave,775,775,0,1129,1116,13,0.918,/a/
Bass_Tuba+sordina,médium,Trombone+sordina_wah,grave,473,473,0,1077,1034,43,0.916,/å/
Horn+sordina,aigu,Trombone+sordina_straight,grave,538,538,0,1240,969,271,0.915,/a/
Harp,grave,Violoncello_Ensemble,médium,204,204,0,952,1211,259,0.915,/u/
Harp,médium,Violoncello_Ensemble,grave,193,193,0,1053,1155,102,0.915,/u/
Clarinet_Eb,chalumeau,Viola,médium,322,322,0,1462,1315,147,0.915,/o/
Viola_Ensemble,grave,Violin+sordina,médium,355,355,0,1304,1175,129,0.914,/o/
Trumpet_C+sordina_cup,grave,Trumpet_C+sordina_straight,suraigu,1496,1496,0,1619,1442,177,0.913,/e/–/i/
Trumpet_C+sordina_cup,médium,Trumpet_C+sordina_straight,suraigu,1496,1496,0,1617,1442,175,0.913,/e/–/i/
Trumpet_C+sordina_cup,aigu,Trumpet_C+sordina_straight,suraigu,1496,1496,0,1609,1442,167,0.913,/e/–/i/
Trumpet_C+sordina_cup,suraigu,Trumpet_C+sordina_straight,suraigu,1496,1496,0,1636,1442,194,0.913,/e/–/i/
Contrabass,suraigu,Violoncello_Ensemble,aigu,247,247,0,1275,1281,6,0.913,/u/
Trumpet_C+sordina_harmon,suraigu,Violin+sordina_piombo,grave,75,75,0,1363,1311,52,0.912,/u/
Trumpet_C+sordina_harmon,suraigu,Violin+sordina_piombo,médium,75,75,0,1363,1376,13,0.912,/u/
Trumpet_C+sordina_harmon,suraigu,Violin+sordina_piombo,aigu,75,75,0,1363,1332,31,0.912,/u/
Trumpet_C+sordina_harmon,suraigu,Violin+sordina_piombo,suraigu,75,75,0,1363,1318,45,0.912,/u/
Sax_Alto,grave,Violin+sordina,médium,355,355,0,1250,1175,75,0.911,/o/
Harp,aigu,Horn,médium,322,322,0,987,1006,19,0.908,/o/
Trombone+sordina_cup,médium,Trumpet_C+sordina_wah,suraigu,915,915,0,992,1174,182,0.904,/e/–/i/
Clarinet_Bb,gorge,Viola,suraigu,355,355,0,1391,1090,301,0.903,/o/
Marimba,médium,Viola,médium,322,322,0,1025,1315,290,0.902,/o/
Contrabass+sordina,grave,Violoncello+sordina_piombo,médium,161,161,0,1149,1087,62,0.901,/u/
Contrabass+sordina,médium,Violoncello+sordina_piombo,médium,161,161,0,1205,1087,118,0.901,/u/
Contrabass+sordina,suraigu,Violoncello+sordina_piombo,aigu,258,258,0,1308,1170,138,0.901,/o/
Trumpet_C+sordina_wah,médium,Viola_Ensemble,médium,312,312,0,1139,1339,200,0.901,/o/
Bassoon+sordina,grave,Trombone,grave,484,484,0,1047,1007,40,0.900,/å/
Bass_Tuba,médium,Violoncello_Ensemble+sordina,médium,204,204,0,1001,1180,179,0.899,/u/
Bass_Tuba,médium,Violoncello_Ensemble+sordina,suraigu,204,204,0,1001,1280,279,0.899,/u/
Contrabass_Ensemble,aigu,Violoncello,grave,193,193,0,1214,1149,65,0.899,/u/
Contrabass_Ensemble,aigu,Violoncello,médium,193,193,0,1214,1202,12,0.899,/u/
Harp,médium,Violoncello,grave,193,193,0,1053,1149,96,0.896,/u/
Harp,médium,Violoncello,médium,193,193,0,1053,1202,149,0.896,/u/
Viola_Ensemble,aigu,Violin,médium,366,366,0,1299,1111,188,0.896,/o/
Horn+sordina,grave,Marimba,médium,322,322,0,1099,1025,74,0.893,/o/
Bass_Tuba,médium,Violoncello_Ensemble,médium,204,204,0,1001,1211,210,0.893,/u/
Trombone,grave,Violin_Ensemble,grave,484,484,0,1007,1295,288,0.892,/å/
Bass_Tuba+sordina,suraigu,Viola+sordina,aigu,387,387,0,1122,1050,72,0.890,/o/
Contrabass_Ensemble,grave,Violoncello+sordina_piombo,médium,161,161,0,1120,1087,33,0.889,/u/
Contrabass,grave,Violoncello+sordina_piombo,médium,161,161,0,1207,1087,120,0.887,/u/
Contrabass,médium,Violoncello+sordina_piombo,médium,161,161,0,1205,1087,118,0.887,/u/
Bass_Clarinet_Bb,grave,Contrabass+sordina,aigu,172,172,0,1257,1256,1,0.884,/u/
Bass_Clarinet_Bb,grave,Contrabass_Ensemble,médium,172,172,0,1257,1170,87,0.877,/u/
Vibraphone,grave,Viola_Ensemble,médium,312,312,0,1130,1339,209,0.877,/o/
Horn,médium,Viola,médium,322,322,0,1006,1315,309,0.874,/o/
Harp,aigu,Marimba,médium,322,322,0,987,1025,38,0.873,/o/
Bass_Clarinet_Bb,grave,Contrabass,aigu,172,172,0,1257,1252,5,0.871,/u/
Bass_Flute,grave,Contrabass+sordina,suraigu,258,258,0,1111,1308,197,0.871,/o/
Contrabass+sordina,grave,Marimba,grave,161,161,0,1149,1111,38,0.867,/u/
Contrabass+sordina,médium,Marimba,grave,161,161,0,1205,1111,94,0.867,/u/
Viola+sordina_piombo,suraigu,Viola_Ensemble,suraigu,861,861,0,947,1135,188,0.866,/e/–/i/
Contrabass_Ensemble,grave,Marimba,grave,161,161,0,1120,1111,9,0.864,/u/
Bass_Flute,médium,Horn+sordina,médium,312,312,0,1132,1161,29,0.862,/o/
Clarinet_Bb,chalumeau,Contrabass_Tuba,grave,215,215,0,1315,935,380,0.862,/u/
Clarinet_Bb,chalumeau,Contrabass_Tuba,médium,215,215,0,1315,964,351,0.862,/u/
Sax_Alto,grave,Viola,suraigu,355,355,0,1250,1090,160,0.861,/o/
Harp,suraigu,Viola_Ensemble+sordina,aigu,301,301,0,1231,1244,13,0.858,/o/
Harp,suraigu,Viola_Ensemble+sordina,suraigu,301,301,0,1231,1061,170,0.858,/o/
Clarinet_Bb,suraigu,Violin_Ensemble,suraigu,1152,1152,0,1331,1259,72,0.857,/e/–/i/
Bass_Tuba,grave,Clarinet_Bb,chalumeau,215,215,0,978,1315,337,0.856,/u/
Contrabass,grave,Marimba,grave,161,161,0,1207,1111,96,0.855,/u/
Contrabass,médium,Marimba,grave,161,161,0,1205,1111,94,0.855,/u/
Horn+sordina,grave,Viola+sordina,médium,322,322,0,1099,1151,52,0.851,/o/
Clarinet_Eb,chalumeau,Viola+sordina,médium,322,322,0,1462,1151,311,0.848,/o/
Clarinet_Bb,gorge,Violin+sordina,médium,355,355,0,1391,1175,216,0.847,/o/
Bass_Flute,médium,Trumpet_C+sordina_wah,médium,312,312,0,1132,1139,7,0.841,/o/
Clarinet_Eb,aigu,Violin+sordina_piombo,grave,75,75,0,1465,1311,154,0.840,/u/
Clarinet_Eb,aigu,Violin+sordina_piombo,médium,75,75,0,1465,1376,89,0.840,/u/
Clarinet_Eb,aigu,Violin+sordina_piombo,aigu,75,75,0,1465,1332,133,0.840,/u/
Clarinet_Eb,aigu,Violin+sordina_piombo,suraigu,75,75,0,1465,1318,147,0.840,/u/
Bass_Tuba,aigu,Viola_Ensemble+sordina,grave,279,279,0,1016,1214,198,0.836,/o/
Harp,aigu,Viola+sordina,médium,322,322,0,987,1151,164,0.832,/o/
Clarinet_Eb,médium,Trumpet_C+sordina_straight,suraigu,1496,1496,0,1417,1442,25,0.825,/e/–/i/
Horn,aigu,Violin_Ensemble,grave,484,484,0,1014,1295,281,0.824,/å/
Sax_Alto,grave,Viola_Ensemble,grave,355,355,0,1250,1304,54,0.824,/o/
Horn+sordina,médium,Viola_Ensemble,médium,312,312,0,1161,1339,178,0.820,/o/
Viola+sordina_piombo,médium,Viola_Ensemble+sordina,médium,290,290,0,1247,1261,14,0.818,/o/
Bass_Tuba,suraigu,Contrabass_Flute,médium,333,333,0,1042,1128,86,0.817,/o/
Clarinet_Eb,aigu,Contrabass_Clarinet_Bb,grave,75,75,0,1465,1245,220,0.808,/u/
Clarinet_Eb,aigu,Contrabass_Clarinet_Bb,médium,75,75,0,1465,1363,102,0.808,/u/
Bass_Tuba,suraigu,Viola+sordina,grave,333,333,0,1042,1141,99,0.806,/o/
Trumpet_C,aigu,Trumpet_C+sordina_harmon,aigu,462,462,0,1261,1259,2,0.798,/å/
Flute,médium,Trumpet_C+sordina_straight,suraigu,1496,1496,0,1412,1442,30,0.797,/e/–/i/
Flute,suraigu,Trumpet_C+sordina_straight,suraigu,1496,1496,0,1424,1442,18,0.797,/e/–/i/
Violin,grave,Violoncello_Ensemble,suraigu,462,462,0,1208,1224,16,0.793,/å/
Horn+sordina,grave,Viola,médium,322,322,0,1099,1315,216,0.784,/o/
Bass_Clarinet_Bb,aigu,Trumpet_C,grave,1281,1281,0,1278,1259,19,0.781,/e/–/i/
Bass_Clarinet_Bb,suraigu,Trumpet_C,grave,1281,1281,0,1341,1259,82,0.781,/e/–/i/
Clarinet_Bb,suraigu,Trumpet_C,médium,1152,1152,0,1331,1306,25,0.779,/e/–/i/
Clarinet_Bb,suraigu,Trumpet_C,suraigu,1152,1152,0,1331,1334,3,0.779,/e/–/i/
Clarinet_Eb,chalumeau,Marimba,médium,322,322,0,1462,1025,437,0.778,/o/
Trumpet_C+sordina_harmon,aigu,Violin,grave,462,462,0,1259,1208,51,0.775,/å/
Viola+sordina_piombo,aigu,Violoncello_Ensemble,médium,204,204,0,1126,1211,85,0.769,/u/
Trumpet_C+sordina_wah,médium,Vibraphone,grave,312,312,0,1139,1130,9,0.767,/o/
Harp,aigu,Viola,médium,322,322,0,987,1315,328,0.767,/o/
Viola+sordina_piombo,aigu,Violoncello_Ensemble+sordina,médium,204,204,0,1126,1180,54,0.761,/u/
Viola+sordina_piombo,aigu,Violoncello_Ensemble+sordina,suraigu,204,204,0,1126,1280,154,0.761,/u/
Bassoon+sordina,grave,Violin_Ensemble,grave,484,484,0,1047,1295,248,0.761,/å/
Clarinet_Eb,chalumeau,Horn,médium,322,322,0,1462,1006,456,0.759,/o/
Bassoon,bas_médium,Violin,suraigu,516,516,0,1152,1230,78,0.758,/å/
Bassoon,aigu,Violin,aigu,570,570,0,1099,1221,122,0.758,/a/
Clarinet_Eb,aigu,Trumpet_C+sordina_harmon,suraigu,75,75,0,1465,1363,102,0.751,/u/
Clarinet_Bb,gorge,Sax_Alto,grave,355,355,0,1391,1250,141,0.751,/o/
Contrabass_Tuba,aigu,Viola,aigu,398,398,0,999,1231,232,0.749,/o/
Clarinet_Eb,médium,Trumpet_C+sordina_cup,grave,1496,1496,0,1417,1619,202,0.745,/e/–/i/
Clarinet_Eb,médium,Trumpet_C+sordina_cup,médium,1496,1496,0,1417,1617,200,0.745,/e/–/i/
Clarinet_Eb,médium,Trumpet_C+sordina_cup,aigu,1496,1496,0,1417,1609,192,0.745,/e/–/i/
Clarinet_Eb,médium,Trumpet_C+sordina_cup,suraigu,1496,1496,0,1417,1636,219,0.745,/e/–/i/
Bass_Flute,aigu,Oboe+sordina,aigu,904,904,0,1110,1056,54,0.741,/e/–/i/
Bass_Tuba+sordina,grave,Violin,grave,462,462,0,1060,1208,148,0.739,/å/
Trumpet_C,aigu,Violoncello_Ensemble,suraigu,462,462,0,1261,1224,37,0.738,/å/
Bassoon+sordina,aigu,Violin,aigu,570,570,0,1079,1221,142,0.730,/a/
Horn+sordina,médium,Trumpet_C+sordina_wah,médium,312,312,0,1161,1139,22,0.730,/o/
Clarinet_Eb,aigu,Vibraphone,aigu,75,75,0,1465,1116,349,0.729,/u/
Clarinet_Bb,clarine,Oboe+sordina,grave,1464,1464,0,1426,1359,67,0.728,/e/–/i/
Bass_Flute,aigu,Oboe,aigu,904,904,0,1110,1176,66,0.714,/e/–/i/
Flute,médium,Trumpet_C+sordina_cup,grave,1496,1496,0,1412,1619,207,0.711,/e/–/i/
Flute,médium,Trumpet_C+sordina_cup,médium,1496,1496,0,1412,1617,205,0.711,/e/–/i/
Flute,médium,Trumpet_C+sordina_cup,aigu,1496,1496,0,1412,1609,197,0.711,/e/–/i/
Flute,médium,Trumpet_C+sordina_cup,suraigu,1496,1496,0,1412,1636,224,0.711,/e/–/i/
Flute,suraigu,Trumpet_C+sordina_cup,grave,1496,1496,0,1424,1619,195,0.711,/e/–/i/
Flute,suraigu,Trumpet_C+sordina_cup,médium,1496,1496,0,1424,1617,193,0.711,/e/–/i/
Flute,suraigu,Trumpet_C+sordina_cup,aigu,1496,1496,0,1424,1609,185,0.711,/e/–/i/
Flute,suraigu,Trumpet_C+sordina_cup,suraigu,1496,1496,0,1424,1636,212,0.711,/e/–/i/
Bass_Tuba+sordina,grave,Trumpet_C,aigu,462,462,0,1060,1261,201,0.691,/å/
Horn+sordina,pédale,Violin,suraigu,516,516,0,1038,1230,192,0.689,/å/
Contrabass_Tuba,aigu,Violin+sordina,grave,398,398,0,999,1234,235,0.688,/o/
Flute,aigu,Piccolo,grave,1033,1033,0,1291,1087,204,0.680,/e/–/i/
Contrabass_Clarinet_Bb,grave,Violin+sordina_piombo,grave,75,75,0,1245,1311,66,0.679,/u/
Contrabass_Clarinet_Bb,grave,Violin+sordina_piombo,médium,75,75,0,1245,1376,131,0.679,/u/
